AIRPORT_ID;AIRPORT_NAME
1;ABE
2;ABI
3;ABQ
4;ABR
5;ACT
6;ACV
7;ACY
8;AEX
9;ALB
10;AMA
11;ANC
12;ASE
13;ATL
14;ATW
15;AUS
16;AVL
17;BDL
18;BFL
19;BHM
20;BIS
21;BJI
22;BLI
23;BMI
24;BNA
25;BOI
26;BOS
27;BPT
28;BQN
29;BRD
30;BRO
31;BTR
32;BTV
33;BUF
34;BUR
35;BWI
36;BZN
37;CAE
38;CAK
39;CHS
40;CID
41;CIU
42;CLD
43;CLE
44;CLL
45;CLT
46;CMH
47;CMI
48;CMX
49;COD
50;COS
51;COU
52;CPR
53;CRP
54;CVG
55;CWA
56;DAB
57;DAL
58;DAY
59;DCA
60;DEN
61;DFW
62;DLH
63;DRO
64;DSM
65;DTW
66;DVL
67;EAU
68;EKO
69;ELP
70;ERI
71;ESC
72;EUG
73;EWR
74;FAI
75;FAR
76;FAT
77;FLL
78;FSD
79;FSM
80;FWA
81;GCC
82;GEG
83;GJT
84;GPT
85;GRB
86;GRI
87;GRK
88;GRR
89;GSO
90;GSP
91;GTF
92;GUC
93;HIB
94;HLN
95;HNL
96;HOB
97;HOU
98;HPN
99;HSV
100;HYS
101;IAD
102;IAG
103;IAH
104;IDA
105;IND
106;INL
107;ISN
108;ISP
109;ITO
110;JAN
111;JAX
112;JFK
113;JLN
114;JMS
115;KOA
116;LAN
117;LAR
118;LAS
119;LAW
120;LAX
121;LBE
122;LEX
123;LFT
124;LGA
125;LGB
126;LIH
127;LIT
128;LNK
129;LRD
130;MAF
131;MBS
132;MCI
133;MCO
134;MDT
135;MDW
136;MEI
137;MEM
138;MFE
139;MFR
140;MGM
141;MHK
142;MHT
143;MIA
144;MKE
145;MLB
146;MLI
147;MLU
148;MOB
149;MOT
150;MRY
151;MSN
152;MSO
153;MSP
154;MSY
155;MTJ
156;MYR
157;OAJ
158;OAK
159;OGG
160;OKC
161;OMA
162;ONT
163;ORD
164;ORF
165;OTZ
166;PAH
167;PBG
168;PBI
169;PDX
170;PHL
171;PHX
172;PIA
173;PIB
174;PIT
175;PLN
176;PNS
177;PSC
178;PSE
179;PSP
180;PVD
181;PWM
182;RAP
183;RDD
184;RDM
185;RDU
186;RIC
187;RKS
188;RNO
189;ROC
190;ROW
191;RSW
192;SAF
193;SAN
194;SAT
195;SAV
196;SBA
197;SBN
198;SBP
199;SCE
200;SEA
201;SFO
202;SGF
203;SHV
204;SJC
205;SJT
206;SJU
207;SLC
208;SMF
209;SMX
210;SNA
211;SPI
212;SPS
213;STC
214;STL
215;SUX
216;SYR
217;TLH
218;TPA
219;TTN
220;TUL
221;TUS
222;TWF
223;TXK
224;TYR
225;TYS
226;VPS
227;XNA
